curve,utilisation,cell_potential_V
I=10,0.7272,1.8325
I=10,0.7308,1.8281
I=10,0.7344,1.8238
I=10,0.738,1.8194
I=10,0.7416,1.815
I=10,0.7452,1.815
I=10,0.7488,1.8107
I=10,0.7524,1.8063
I=10,0.756,1.802
I=10,0.7596,1.7976
I=10,0.7632,1.7932
I=10,0.7668,1.7889
I=10,0.7704,1.7845
I=10,0.774,1.7802
I=10,0.7776,1.7758
I=10,0.7812,1.7714
I=10,0.7849,1.7671
I=10,0.7885,1.7627
I=10,0.7921,1.7562
I=10,0.7957,1.7496
I=10,0.7993,1.7453
I=10,0.8029,1.7387
I=10,0.8065,1.7322
I=10,0.8101,1.7256
I=10,0.8137,1.7191
I=10,0.8173,1.7104
I=10,0.8209,1.7017
I=10,0.8245,1.6908
I=10,0.8281,1.6777
I=10,0.8317,1.6603
I=10,0.8353,1.6363
I=10,0.8389,1.6057
I=13,0.0174,2.4539
I=13,0.0204,2.4451
I=13,0.0234,2.4342
I=13,0.0264,2.4255
I=13,0.0295,2.4168
I=13,0.0324,2.4103
I=13,0.0355,2.4037
I=13,0.0385,2.3994
I=13,0.0415,2.3906
I=13,0.0445,2.3863
I=13,0.0475,2.3797
I=13,0.0505,2.3754
I=13,0.0535,2.3688
I=13,0.0565,2.3645
I=13,0.0595,2.3601
I=13,0.0625,2.3557
I=13,0.0655,2.347
I=13,0.0685,2.3427
I=13,0.0715,2.3383
I=13,0.0745,2.3339
I=13,0.0775,2.3296
I=13,0.0805,2.3252
I=13,0.0835,2.3209
I=13,0.0865,2.3209
I=13,0.0895,2.3143
I=13,0.0925,2.3121
I=13,0.0955,2.3056
I=13,0.0986,2.3034
I=13,0.1016,2.2991
I=13,0.1046,2.2947
I=13,0.1076,2.2903
I=13,0.1106,2.286
I=13,0.1136,2.286
I=13,0.1166,2.2794
I=13,0.1196,2.2751
I=13,0.1226,2.2729
I=13,0.1256,2.2685
I=13,0.1286,2.2642
I=13,0.1316,2.2598
I=13,0.1346,2.2598
I=13,0.1376,2.2555
I=13,0.1406,2.2511
I=13,0.1436,2.2489
I=13,0.1466,2.2467
I=13,0.1496,2.2424
I=13,0.1526,2.238
I=13,0.1557,2.238
I=13,0.1587,2.2336
I=13,0.1617,2.2293
I=13,0.1647,2.2249
I=13,0.1677,2.2249
I=13,0.1707,2.2206
I=13,0.1737,2.2162
I=13,0.1767,2.2162
I=13,0.1797,2.2119
I=13,0.1827,2.2075
I=13,0.1857,2.2009
I=13,0.1887,2.1988
I=13,0.1917,2.1944
I=13,0.1947,2.1944
I=13,0.1977,2.19
I=13,0.2007,2.1857
I=13,0.2037,2.1813
I=13,0.2067,2.1813
I=13,0.2097,2.177
I=13,0.2127,2.1726
I=13,0.2157,2.1726
I=13,0.2188,2.1682
I=13,0.2218,2.1639
I=13,0.2248,2.1639
I=13,0.2278,2.1595
I=13,0.2308,2.1552
I=13,0.2338,2.153
I=13,0.2368,2.1508
I=13,0.2398,2.1464
I=13,0.2428,2.1464
I=13,0.2458,2.1421
I=13,0.2488,2.1377
I=13,0.2518,2.1334
I=13,0.2548,2.1334
I=13,0.2578,2.129
I=13,0.2608,2.1246
I=13,0.2638,2.1203
I=13,0.2668,2.1203
I=13,0.2698,2.1159
I=13,0.2728,2.1116
I=13,0.2758,2.1094
I=13,0.2788,2.1072
I=13,0.2818,2.1028
I=13,0.2849,2.1028
I=13,0.2879,2.0985
I=13,0.2909,2.0963
I=13,0.2939,2.0941
I=13,0.2969,2.0897
I=13,0.2999,2.0854
I=13,0.3029,2.0854
I=13,0.3059,2.081
I=13,0.3089,2.0767
I=13,0.3119,2.0767
I=13,0.3149,2.0723
I=13,0.3179,2.0723
I=13,0.3209,2.068
I=13,0.3239,2.0636
I=13,0.3269,2.0636
I=13,0.3299,2.0592
I=13,0.3329,2.0549
I=13,0.3359,2.0505
I=13,0.3389,2.0505
I=13,0.3419,2.0461
I=13,0.3449,2.0418
I=13,0.348,2.0374
I=13,0.351,2.0374
I=13,0.354,2.0331
I=13,0.357,2.0331
I=13,0.36,2.0287
I=13,0.363,2.0244
I=13,0.366,2.02
I=13,0.369,2.02
I=13,0.372,2.0156
I=13,0.375,2.0113
I=13,0.378,2.0113
I=13,0.381,2.0069
I=13,0.384,2.0025
I=13,0.387,2.0025
I=13,0.39,1.9982
I=13,0.393,1.9982
I=13,0.396,1.9938
I=13,0.399,1.9895
I=13,0.402,1.9851
I=13,0.4051,1.9851
I=13,0.4081,1.9807
I=13,0.4111,1.9764
I=13,0.4141,1.972
I=13,0.4171,1.972
I=13,0.4201,1.9677
I=13,0.4231,1.9633
I=13,0.4261,1.9589
I=13,0.4291,1.9589
I=13,0.4321,1.9546
I=13,0.4351,1.9524
I=13,0.4381,1.9502
I=13,0.4411,1.9459
I=13,0.4441,1.9415
I=13,0.4471,1.9415
I=13,0.4501,1.9371
I=13,0.4531,1.9328
I=13,0.4561,1.9284
I=13,0.4591,1.9284
I=13,0.4621,1.9241
I=13,0.4651,1.9219
I=13,0.4682,1.9175
I=13,0.4712,1.9153
I=13,0.4742,1.9129
I=13,0.4772,1.9088
I=13,0.4802,1.9066
I=13,0.4832,1.9044
I=13,0.4862,1.9001
I=13,0.4892,1.8979
I=13,0.4922,1.8957
I=13,0.4952,1.8935
I=13,0.4982,1.8892
I=13,0.5012,1.8848
I=13,0.5042,1.8804
I=13,0.5072,1.8804
I=13,0.5102,1.8761
I=13,0.5132,1.8717
I=13,0.5162,1.8674
I=13,0.5192,1.863
I=13,0.5222,1.8608
I=13,0.5252,1.8586
I=13,0.5282,1.8543
I=13,0.5312,1.8499
I=13,0.5343,1.8456
I=13,0.5373,1.8434
I=13,0.5403,1.839
I=13,0.5433,1.8369
I=13,0.5463,1.8325
I=13,0.5493,1.8281
I=13,0.5523,1.8238
I=13,0.5553,1.8238
I=13,0.5583,1.8194
I=13,0.5613,1.815
I=13,0.5643,1.8107
I=13,0.5673,1.8063
I=13,0.5703,1.802
I=13,0.5733,1.7998
I=13,0.5763,1.7932
I=13,0.5793,1.7889
I=13,0.5823,1.7845
I=13,0.5853,1.7802
I=13,0.5883,1.7736
I=13,0.5914,1.7714
I=13,0.5944,1.7627
I=13,0.5974,1.7584
I=13,0.6004,1.754
I=13,0.6034,1.7496
I=13,0.6064,1.7409
I=13,0.6094,1.7366
I=13,0.6124,1.7256
I=13,0.6154,1.7191
I=13,0.6184,1.7082
I=13,0.6214,1.7017
I=13,0.6244,1.6864
I=13,0.6274,1.6777
I=13,0.6304,1.6537
I=13,0.6334,1.6319
I=13,0.6364,1.5818
I=20,0.0078,2.462
I=20,0.009,2.462
I=20,0.0102,2.456
I=20,0.0114,2.4451
I=20,0.0126,2.4408
I=20,0.0138,2.4342
I=20,0.015,2.4277
I=20,0.0162,2.4233
I=20,0.0174,2.419
I=20,0.0186,2.4124
I=20,0.0198,2.4103
I=20,0.021,2.4059
I=20,0.0222,2.3994
I=20,0.0234,2.3972
I=20,0.0246,2.3928
I=20,0.0258,2.3884
I=20,0.027,2.3863
I=20,0.0283,2.3819
I=20,0.0295,2.3775
I=20,0.0307,2.3754
I=20,0.0319,2.371
I=20,0.0331,2.3666
I=20,0.0343,2.3645
I=20,0.0355,2.3601
I=20,0.0367,2.3579
I=20,0.0379,2.3536
I=20,0.0391,2.3492
I=20,0.0403,2.347
I=20,0.0415,2.3448
I=20,0.0427,2.3405
I=20,0.0439,2.3383
I=20,0.0451,2.3339
I=20,0.0463,2.3318
I=20,0.0475,2.3274
I=20,0.0487,2.3252
I=20,0.0499,2.323
I=20,0.0511,2.3187
I=20,0.0523,2.3165
I=20,0.0535,2.3143
I=20,0.0547,2.3121
I=20,0.0559,2.31
I=20,0.0571,2.3056
I=20,0.0583,2.3034
I=20,0.0595,2.2991
I=20,0.0607,2.2991
I=20,0.0619,2.2947
I=20,0.0631,2.2947
I=20,0.0643,2.2903
I=20,0.0655,2.2881
I=20,0.0667,2.2838
I=20,0.0679,2.2816
I=20,0.0691,2.2794
I=20,0.0703,2.2772
I=20,0.0715,2.2729
I=20,0.0727,2.2729
I=20,0.0739,2.2685
I=20,0.0751,2.2664
I=20,0.0763,2.2642
I=20,0.0775,2.262
I=20,0.0787,2.2598
I=20,0.0799,2.2576
I=20,0.0811,2.2555
I=20,0.0823,2.2511
I=20,0.0835,2.2511
I=20,0.0847,2.2467
I=20,0.0859,2.2467
I=20,0.0871,2.2424
I=20,0.0883,2.2402
I=20,0.0895,2.238
I=20,0.0907,2.2336
I=20,0.092,2.2336
I=20,0.0931,2.2293
I=20,0.0944,2.2271
I=20,0.0955,2.2249
I=20,0.0968,2.2228
I=20,0.098,2.2206
I=20,0.0992,2.2184
I=20,0.1004,2.2162
I=20,0.1016,2.2119
I=20,0.1028,2.2119
I=20,0.104,2.2075
I=20,0.1052,2.2075
I=20,0.1064,2.2031
I=20,0.1076,2.2031
I=20,0.1088,2.1988
I=20,0.11,2.1988
I=20,0.1112,2.1944
I=20,0.1124,2.1922
I=20,0.1136,2.19
I=20,0.1148,2.1879
I=20,0.116,2.1857
I=20,0.1172,2.1857
I=20,0.1184,2.1813
I=20,0.1196,2.177
I=20,0.1208,2.177
I=20,0.122,2.177
I=20,0.1232,2.1748
I=20,0.1244,2.1726
I=20,0.1256,2.1726
I=20,0.1268,2.1682
I=20,0.128,2.1661
I=20,0.1292,2.1639
I=20,0.1304,2.1617
I=20,0.1316,2.1595
I=20,0.1328,2.1595
I=20,0.134,2.1552
I=20,0.1352,2.1552
I=20,0.1364,2.1508
I=20,0.1376,2.1486
I=20,0.1388,2.1464
I=20,0.14,2.1464
I=20,0.1412,2.1421
I=20,0.1424,2.1421
I=20,0.1436,2.1399
I=20,0.1448,2.1355
I=20,0.146,2.1334
I=20,0.1472,2.1312
I=20,0.1484,2.129
I=20,0.1496,2.1268
I=20,0.1508,2.1246
I=20,0.152,2.1246
I=20,0.1532,2.1203
I=20,0.1545,2.1181
I=20,0.1557,2.1159
I=20,0.1568,2.1159
I=20,0.158,2.1116
I=20,0.1593,2.1116
I=20,0.1605,2.1072
I=20,0.1617,2.1072
I=20,0.1629,2.1028
I=20,0.1641,2.1006
I=20,0.1653,2.0985
I=20,0.1665,2.0985
I=20,0.1677,2.0963
I=20,0.1689,2.0941
I=20,0.1701,2.0897
I=20,0.1713,2.0897
I=20,0.1725,2.0876
I=20,0.1737,2.0854
I=20,0.1749,2.0832
I=20,0.1761,2.081
I=20,0.1773,2.0789
I=20,0.1785,2.0767
I=20,0.1797,2.0767
I=20,0.1809,2.0723
I=20,0.1821,2.0723
I=20,0.1833,2.0701
I=20,0.1845,2.068
I=20,0.1857,2.0636
I=20,0.1869,2.0636
I=20,0.1881,2.0592
I=20,0.1893,2.0592
I=20,0.1905,2.057
I=20,0.1917,2.0549
I=20,0.1929,2.0505
I=20,0.1941,2.0505
I=20,0.1953,2.0505
I=20,0.1965,2.0461
I=20,0.1977,2.044
I=20,0.1989,2.0418
I=20,0.2001,2.0396
I=20,0.2013,2.0374
I=20,0.2025,2.0374
I=20,0.2037,2.0331
I=20,0.2049,2.0309
I=20,0.2061,2.0287
I=20,0.2073,2.0265
I=20,0.2085,2.0244
I=20,0.2097,2.0244
I=20,0.2109,2.02
I=20,0.2121,2.02
I=20,0.2133,2.0156
I=20,0.2145,2.0156
I=20,0.2157,2.0113
I=20,0.217,2.0113
I=20,0.2182,2.0069
I=20,0.2193,2.0069
I=20,0.2205,2.0025
I=20,0.2218,2.0025
I=20,0.223,2.0025
I=20,0.2242,1.9982
I=20,0.2254,1.996
I=20,0.2266,1.9938
I=20,0.2278,1.9916
I=20,0.229,1.9895
I=20,0.2302,1.9895
I=20,0.2314,1.9851
I=20,0.2326,1.9829
I=20,0.2338,1.9807
I=20,0.235,1.9786
I=20,0.2362,1.9764
I=20,0.2374,1.9764
I=20,0.2386,1.972
I=20,0.2398,1.9698
I=20,0.241,1.9677
I=20,0.2422,1.9677
I=20,0.2434,1.9633
I=20,0.2446,1.9633
I=20,0.2458,1.9589
I=20,0.247,1.9568
I=20,0.2482,1.9546
I=20,0.2494,1.9524
I=20,0.2506,1.9502
I=20,0.2518,1.9502
I=20,0.253,1.9459
I=20,0.2542,1.9459
I=20,0.2554,1.9415
I=20,0.2566,1.9393
I=20,0.2578,1.9371
I=20,0.259,1.9371
I=20,0.2602,1.9328
I=20,0.2614,1.9328
I=20,0.2626,1.9284
I=20,0.2638,1.9284
I=20,0.265,1.9241
I=20,0.2662,1.9219
I=20,0.2674,1.9197
I=20,0.2686,1.9175
I=20,0.2698,1.9153
I=20,0.271,1.9153
I=20,0.2722,1.911
I=20,0.2734,1.911
I=20,0.2746,1.9066
I=20,0.2758,1.9044
I=20,0.277,1.9022
I=20,0.2782,1.9001
I=20,0.2794,1.8979
I=20,0.2807,1.8979
I=20,0.2818,1.8935
I=20,0.2831,1.8914
I=20,0.2843,1.8892
I=20,0.2855,1.887
I=20,0.2867,1.8848
I=20,0.2879,1.8826
I=20,0.2891,1.8804
I=20,0.2903,1.8761
I=20,0.2915,1.8761
I=20,0.2927,1.8717
I=20,0.2939,1.8717
I=20,0.2951,1.8696
I=20,0.2963,1.8674
I=20,0.2975,1.863
I=20,0.2987,1.863
